web-scraper-order,web-scraper-start-url,titre_annonce,prix,commune,date,code_postal,surface_all,nb_pièces,détail,prix_m2
1613500621-52958,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=77,Studio 1 pièce 26 m²,530,La Madeleine ,"09 fév, 14:06",59110,26,1,Appartement,20.384615384615383
1613500589-52624,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=86,Appartement 2 pièces 38 m²,520,Armentières ,"08 fév, 13:31",59280,38,2,Appartement,13.68421052631579
1613500646-53312,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=67,Studio 1 pièce 26 m²,550,Ronchin ,"10 fév, 15:55",59790,26,1,Appartement,21.153846153846153
1613500586-52582,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=87,Appartement 58 m² Roubaix,499,Roubaix ,"08 fév, 12:06",59100,58,,Appartement,8.60344827586207
1613500855-55145,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=12,Studio 1 pièce 21 m²,430,Lambersart ,"16 fév, 09:50",59130,21,1,Appartement,20.476190476190474
1613500695-53991,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=47,Appartement 2 pièces 55 m²,554,Gravelines ,"12 fév, 18:05",59820,55,2,Appartement,10.072727272727272
1613500683-53829,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=52,Appartement 2 pièces 31 m²,544,Wasquehal ,"12 fév, 11:36",59290,31,2,Appartement,17.548387096774192
1613500843-54989,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=17,Appartement 3 pièces 81 m²,775,Cambrai ,"15 fév, 18:41",59400,81,3,Appartement,9.567901234567902
1613500614-52846,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=80,Maison 4 pièces 100 m²,700,Grand-Fort-Philippe ,"09 fév, 09:33",59153,100,4,Maison,7
1613500853-55124,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=13,Maison 4 pièces 80 m²,635,Wasquehal ,"16 fév, 08:37",59290,80,4,Maison,7.9375
1613500606-52748,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=83,Appartement 2 pièces 31 m²,425,Halluin ,"08 fév, 19:27",59250,31,2,Appartement,13.709677419354838
1613500663-53559,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=60,Maison de ville 6 pièces 110 m²,1025,Mouvaux ,"11 fév, 12:53",59420,110,6,Maison,9.318181818181818
1613500557-52186,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=99,Appartement 2 pièces 27 m²,505,Lille ,"05 fév, 17:04",59800,27,2,Appartement,18.703703703703702
1613500629-53036,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=74,Appartement 2 pièces 28 m²,581,Lille ,"10 fév, 00:07",59800,28,2,Appartement,20.75
1613500828-54781,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=23,Appartement 2 pièces 54 m²,614,Seclin ,"15 fév, 11:49",59113,54,2,Appartement,11.37037037037037
1613500582-52528,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=89,Appartement meuble de 27m2,900,Lille  Vauban-Esquermes,"07 fév, 23:06",59000,27,,Appartement,33.333333333333336
1613500564-52300,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=96,Appartement 2 pièces 64 m²,620,Armentières ,"06 fév, 07:49",59280,64,2,Appartement,9.6875
1613500670-53662,https://www.leboncoin.fr/recherche?category=10&locations=d_59&real_estate_type=1%2C2&page=57,Appartement 1 pièce 18 m²,435,Lille ,"11 fév, 17:42",59000,18,,Appartement,24.166666666666668
