web-scraper-order,web-scraper-start-url,titre_annonce,prix,nom-commune,code_postal,date_publication,Type,surface_all,nb_pièces,détail,Jardin,état,garage,cave_sous_sol,prix_m2
1613469017-49125,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=85,Maison 5 pièces 142 m²,295000,Villeneuve-d'Ascq ,59491,"05 fév, 18:07",Maison,142,5,,,,,,2077.4647887323945
1613468483-48397,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=6,Maison 5 pièces 115 m²,239000,Estaires ,59940,"15 fév, 15:43",Maison,115,5,,,,,,2078.2608695652175
1613468978-48605,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=100,Pavillon 7 pièces 110 m²,228660,Vendin-le-Vieil ,62880,"02 fév, 10:09",Maison,110,7,Maison individuelle,,,,,2078.7272727272725
1613469081-49884,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=64,Maison de ville 5 pièces 125 m²,259900,Haisnes ,62138,"10 fév, 03:27",Maison,125,5,Maison de ville,,,,,2079.2
1613469032-49342,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=79,Maison 11 pièces 370 m²,770000,Villeneuve-d'Ascq ,59650,"07 fév, 13:17",Maison,370,,,,,,,2081.0810810810813
1613469000-48922,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=91,Maison 6 pièces 110 m²,229000,Carvin ,62220,"04 fév, 12:32",Maison,110,6,,,,,,2081.818181818182
1613468447-47825,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=22,Maison 5 pièces 110 m²,229000,Camphin-en-Carembault ,59133,"14 fév, 13:27",Maison,110,5,,,,,,2081.818181818182
1613469074-49749,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=67,Maison 4 pièces 100 m²,208500,Ostricourt ,59162,"09 fév, 16:53",Maison,100,4,,,,,,2085
1613468430-47573,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=30,Maison 5 pièces 103 m²,215000,Lesquin ,59810,"13 fév, 15:05",Maison,103,5,,,,,,2087.378640776699
1613468485-48437,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=5,Maison 5 pièces 129 m²,269360,Raimbeaucourt ,59283,"15 fév, 16:33",Maison,129,5,,,,,,2088.062015503876
1613468461-48035,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=16,Maison 4 pièces 107 m²,223515,Vermelles ,62980,"15 fév, 08:58",Maison,107,4,,,,,,2088.92523364486
1613469096-50069,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=58,Maison 5 pièces 213 m²,445000,Wattrelos ,59150,"10 fév, 17:46",Maison,213,5,,,,,,2089.2018779342725
1613468411-47286,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=38,Maison 7 pièces 201 m²,420000,Mérignies ,59710,"12 fév, 19:02",Maison,201,7,,,,,,2089.5522388059703
1613468411-47261,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=38,Maison 7 pièces 201 m²,420000,Villeneuve-d'Ascq ,59650,"12 fév, 20:20",Maison,201,7,,,,,,2089.5522388059703
1613469112-50276,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=52,Maison 4 pièces 110 m²,230000,Lille ,59000,"11 fév, 13:55",Maison,110,4,,,,,,2090.909090909091
1613469035-49390,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=78,Vends Maison 110 m2,230000,Sainghin-en-Weppes ,59184,"07 fév, 18:04",Maison,110,,,,,,,2090.909090909091
1613468467-48159,https://www.leboncoin.fr/recherche?category=9&locations=Lille__50.6324301076244_3.06379545019679_8344_20000&real_estate_type=1&page=13,Maison 5 pièces 143 m²,299000,Roubaix ,59100,"15 fév, 10:02",Maison,143,5,,,,,,2090.909090909091
